trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
425,425_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.001000000000000000020816681712,0.998999999999999999111821580300,241,EDFSMode.RANDOM
426,426_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.001000000000000000020816681712,0.998999999999999999111821580300,322,EDFSMode.RANDOM
427,427_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.001000000000000000020816681712,0.998999999999999999111821580300,198,EDFSMode.RANDOM
428,428_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,24,0.001000000000000000020816681712,0.998999999999999999111821580300,326,EDFSMode.RANDOM
429,429_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.399887063679313925490532710683,0.998999999999999999111821580300,389,EDFSMode.RANDOM
430,430_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,5000,1,0.001000000000000000020816681712,0.998999999999999999111821580300,144,EDFSMode.RANDOM
431,431_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.998999999999999999111821580300,0.998999999999999999111821580300,152,EDFSMode.RANDOM
432,432_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1,0.998999999999999999111821580300,0.998999999999999999111821580300,310,EDFSMode.RANDOM
433,433_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1,0.998999999999999999111821580300,0.511949669127879314345364036853,682,EDFSMode.RANDOM
434,434_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,5000,1,0.001000000000000000020816681712,0.998999999999999999111821580300,223,EDFSMode.RANDOM
435,435_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1918,27,0.001000000000000000020816681712,0.001000000000000000020816681712,1000,EDFSMode.RANDOM
436,436_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1,0.001000000000000000020816681712,0.535504015429022484084953248384,323,EDFSMode.RANDOM
437,437_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,289,1,0.001000000000000000020816681712,0.998999999999999999111821580300,100,EDFSMode.RANDOM
438,438_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,100,0.001000000000000000020816681712,0.998999999999999999111821580300,100,EDFSMode.RANDOM
439,439_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1823,43,0.001000000000000000020816681712,0.001000000000000000020816681712,907,EDFSMode.RANDOM
440,440_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.611993953455543082675660571113,0.998999999999999999111821580300,294,EDFSMode.RANDOM
441,441_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1,0.322275213846449526400306240248,0.872070107401793692680769254366,445,EDFSMode.RANDOM
442,442_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1,0.998999999999999999111821580300,0.998999999999999999111821580300,414,EDFSMode.RANDOM
443,443_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,4444,1,0.998999999999999999111821580300,0.998999999999999999111821580300,237,EDFSMode.RANDOM
444,444_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,3.000000000000000000000000000000,4227,1,0.998999999999999999111821580300,0.998999999999999999111821580300,100,EDFSMode.RANDOM
445,445_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.998999999999999999111821580300,0.998999999999999999111821580300,196,EDFSMode.RANDOM
446,446_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2099,1,0.702515088533162690431765895482,0.998999999999999999111821580300,435,EDFSMode.RANDOM
447,447_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,42,0.001000000000000000020816681712,0.998999999999999999111821580300,458,EDFSMode.RANDOM
448,448_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.001000000000000000020816681712,0.998999999999999999111821580300,114,EDFSMode.RANDOM
449,449_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,100,0.001000000000000000020816681712,0.700263760462684237140251752862,1000,EDFSMode.RANDOM
450,450_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,1817,1,0.998999999999999999111821580300,0.998999999999999999111821580300,219,EDFSMode.RANDOM
451,451_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1462,1,0.998999999999999999111821580300,0.998999999999999999111821580300,329,EDFSMode.RANDOM
452,452_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,939,1,0.998999999999999999111821580300,0.998999999999999999111821580300,380,EDFSMode.RANDOM
453,453_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1876,1,0.001000000000000000020816681712,0.998999999999999999111821580300,273,EDFSMode.RANDOM
454,454_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,1959,1,0.001000000000000000020816681712,0.998999999999999999111821580300,231,EDFSMode.RANDOM
455,455_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1726,1,0.001000000000000000020816681712,0.998999999999999999111821580300,292,EDFSMode.RANDOM
456,456_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,1934,1,0.001000000000000000020816681712,0.998999999999999999111821580300,178,EDFSMode.RANDOM
457,457_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,1725,1,0.001000000000000000020816681712,0.998999999999999999111821580300,247,EDFSMode.RANDOM
458,458_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,2461,1,0.998999999999999999111821580300,0.998999999999999999111821580300,260,EDFSMode.RANDOM
459,459_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2424,100,0.001000000000000000020816681712,0.001000000000000000020816681712,872,EDFSMode.RANDOM
