trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,delta
107,107_0,COMPLETED,BoTorch,GenerationStep_1,0.670000000000000039968028886506,174.000000000000000000000000000000,5000,0.035176751910690792768399148827
108,108_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,29.000000000000000000000000000000,2292,0.061856623985667970322399611405
109,109_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,27.000000000000000000000000000000,2437,0.176974510889191166684852873914
110,110_0,COMPLETED,BoTorch,GenerationStep_1,0.640000000000000013322676295502,204.000000000000000000000000000000,3595,0.001000000000000000020816681712
111,111_0,COMPLETED,BoTorch,GenerationStep_1,0.609999999999999986677323704498,96.000000000000000000000000000000,4987,0.166969320906343698940332842540
112,112_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,27.000000000000000000000000000000,3938,0.998999999999999999111821580300
113,113_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,28.000000000000000000000000000000,475,0.998999999999999999111821580300
114,114_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,47.000000000000000000000000000000,2285,0.028081272073717800097369945433
115,115_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,36.000000000000000000000000000000,4822,0.324767693451678884919431311573
116,116_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,27.000000000000000000000000000000,809,0.254004992717971000981691531706
117,117_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,62.000000000000000000000000000000,4776,0.281291754067244270665071326221
118,118_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,41.000000000000000000000000000000,648,0.169415038063856132621864958310
119,119_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,36.000000000000000000000000000000,4614,0.998999999999999999111821580300
120,120_0,COMPLETED,BoTorch,GenerationStep_1,0.630000000000000004440892098501,175.000000000000000000000000000000,5000,0.012809865393996457128000798775
121,121_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,38.000000000000000000000000000000,2431,0.079058088643585044952288853892
122,122_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,37.000000000000000000000000000000,2474,0.120960797494771482574194010340
123,123_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,51.000000000000000000000000000000,2430,0.050400818521995106868960334623
124,124_0,COMPLETED,BoTorch,GenerationStep_1,0.650000000000000022204460492503,156.000000000000000000000000000000,5000,0.056861904015978625981375671472
125,125_0,COMPLETED,BoTorch,GenerationStep_1,0.660000000000000031086244689504,114.000000000000000000000000000000,3074,0.001000000000000000020816681712
126,126_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,77.000000000000000000000000000000,2931,0.001000000000000000020816681712
127,127_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,44.000000000000000000000000000000,2393,0.022961304758768470019036911367
128,128_0,COMPLETED,BoTorch,GenerationStep_1,0.530000000000000026645352591004,12.000000000000000000000000000000,1,0.061563581034538829295232886807
129,129_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,43.000000000000000000000000000000,2513,0.153140093130850807323639628521
130,130_0,COMPLETED,BoTorch,GenerationStep_1,0.619999999999999995559107901499,37.000000000000000000000000000000,229,0.001000000000000000020816681712
131,131_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,43.000000000000000000000000000000,2439,0.093813292808213738505074275054
132,132_0,COMPLETED,BoTorch,GenerationStep_1,0.660000000000000031086244689504,129.000000000000000000000000000000,3332,0.001000000000000000020816681712
133,133_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,44.000000000000000000000000000000,2504,0.070250494571619387373928589113
134,134_0,COMPLETED,BoTorch,GenerationStep_1,0.450000000000000011102230246252,22.000000000000000000000000000000,2536,0.138391420262285652631462085083
135,135_0,COMPLETED,BoTorch,GenerationStep_1,0.640000000000000013322676295502,116.000000000000000000000000000000,3170,0.001000000000000000020816681712
136,136_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,31.000000000000000000000000000000,2536,0.197410381325531264495865002573
137,137_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,14.000000000000000000000000000000,1,0.189089576182910945600923469101
138,138_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,11.000000000000000000000000000000,1,0.019339724789977030816601200058
139,139_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,42.000000000000000000000000000000,2442,0.108051604234702142148805137367
140,140_0,COMPLETED,BoTorch,GenerationStep_1,0.650000000000000022204460492503,83.000000000000000000000000000000,2826,0.001000000000000000020816681712
141,141_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,35.000000000000000000000000000000,2422,0.037612272230570724385056990968
