trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
1126,1126_0,FAILED,BOTORCH_MODULAR,,,3294,3898,4.286490862036048454797310114373,10,0.998999999999999999111821580300
1127,1127_0,RUNNING,BOTORCH_MODULAR,,,941,4892,10.000000000000000000000000000000,12,0.998999999999999999111821580300
1128,1128_0,RUNNING,BOTORCH_MODULAR,,,4255,4562,10.000000000000000000000000000000,13,0.998999999999999999111821580300
1129,1129_0,COMPLETED,BOTORCH_MODULAR,0.460000000000000019984014443253,27.000000000000000000000000000000,4710,3116,10.000000000000000000000000000000,1,0.001000000000000000020816681712
1130,1130_0,RUNNING,BOTORCH_MODULAR,,,3262,4630,10.000000000000000000000000000000,20,0.001000000000000000020816681712
1131,1131_0,RUNNING,BOTORCH_MODULAR,,,4256,3872,10.000000000000000000000000000000,20,0.988875540560577248605511613277
1132,1132_0,RUNNING,BOTORCH_MODULAR,,,1711,3136,7.437103216687129147999257838819,14,0.998999999999999999111821580300
1133,1133_0,FAILED,BOTORCH_MODULAR,,,4163,3152,9.815162334536870147871923109051,13,0.998999999999999999111821580300
1134,1134_0,FAILED,BOTORCH_MODULAR,,,1760,3211,10.000000000000000000000000000000,15,0.576593950741777661050946335308
1135,1135_0,COMPLETED,BOTORCH_MODULAR,0.470000000000000028865798640254,25.000000000000000000000000000000,1797,3157,0.001000000000000000020816681712,4,0.386070843324961665565808743850
1136,1136_0,FAILED,BOTORCH_MODULAR,,,3984,4927,4.781169456807277562404578930000,12,0.998999999999999999111821580300
1137,1137_0,COMPLETED,BOTORCH_MODULAR,0.450000000000000011102230246252,109.000000000000000000000000000000,1247,2413,0.001000000000000000020816681712,17,0.001000000000000000020816681712
1138,1138_0,FAILED,BOTORCH_MODULAR,,,4419,2534,4.883376691063755714594663004391,17,0.456784274773368637045933837726
1139,1139_0,FAILED,BOTORCH_MODULAR,,,3536,3170,10.000000000000000000000000000000,11,0.998999999999999999111821580300
1140,1140_0,FAILED,BOTORCH_MODULAR,,,4327,4563,6.800174606562378265550705691567,11,0.998999999999999999111821580300
1141,1141_0,FAILED,BOTORCH_MODULAR,,,4015,2740,10.000000000000000000000000000000,16,0.265622989598141734379765921403
1142,1142_0,FAILED,BOTORCH_MODULAR,,,3051,3320,9.056657815325444005338795250282,18,0.998999999999999999111821580300
1143,1143_0,COMPLETED,BOTORCH_MODULAR,0.489999999999999991118215802999,43.000000000000000000000000000000,3922,2021,1.776156773180967540781693969620,7,0.998999999999999999111821580300
1144,1144_0,COMPLETED,BOTORCH_MODULAR,0.429999999999999993338661852249,207.000000000000000000000000000000,983,3007,0.001000000000000000020816681712,11,0.998999999999999999111821580300
1145,1145_0,RUNNING,BOTORCH_MODULAR,,,3892,4653,6.790306535971237344995188323082,14,0.998999999999999999111821580300
1146,1146_0,RUNNING,BOTORCH_MODULAR,,,1865,3062,6.083503698962128503069379803492,12,0.001000000000000000020816681712
1147,1147_0,RUNNING,BOTORCH_MODULAR,,,3358,5000,9.631886007743183597540337359533,14,0.001000000000000000020816681712
1148,1148_0,FAILED,BOTORCH_MODULAR,,,1699,2868,10.000000000000000000000000000000,13,0.998999999999999999111821580300
