trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
139,139_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,2.000000000000000000000000000000,4592,179,1.559914621502903386840443999972,1,0.303769707755330076182076481928
140,140_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,4519,1694,5.613689074032181203222080512205,20,0.001000000000000000020816681712
141,141_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,6.000000000000000000000000000000,5000,112,0.001000000000000000020816681712,20,0.998999999999999999111821580300
142,142_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,1665,10.000000000000000000000000000000,1,0.001000000000000000020816681712
143,143_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,1744,10.000000000000000000000000000000,4,0.001000000000000000020816681712
144,144_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,10.000000000000000000000000000000,4840,43,3.164918905335893484220832760911,20,0.998999999999999999111821580300
145,145_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,49,1757,0.161979430856505984825943755823,20,0.902679337196872544346604172461
146,146_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,43.000000000000000000000000000000,5000,263,0.001000000000000000020816681712,11,0.001000000000000000020816681712
147,147_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,3.000000000000000000000000000000,4662,162,8.773726403810137242089695064351,1,0.516210741275325069032930969115
148,148_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,26.000000000000000000000000000000,5000,240,0.001000000000000000020816681712,20,0.001000000000000000020816681712
149,149_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,32.000000000000000000000000000000,5000,262,0.001000000000000000020816681712,15,0.099714623672652269448235529126
150,150_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,5.000000000000000000000000000000,5000,139,10.000000000000000000000000000000,9,0.998999999999999999111821580300
151,151_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,4231,10.000000000000000000000000000000,1,0.998999999999999999111821580300
152,152_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,5.000000000000000000000000000000,4820,118,10.000000000000000000000000000000,8,0.975146760124875999764526568470
153,153_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,11.000000000000000000000000000000,4973,158,10.000000000000000000000000000000,10,0.998999999999999999111821580300
154,154_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,3.000000000000000000000000000000,5000,115,10.000000000000000000000000000000,4,0.940684930186580503530535679602
155,155_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,7.000000000000000000000000000000,4871,116,10.000000000000000000000000000000,12,0.977896665591752034529804404883
156,156_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,8.000000000000000000000000000000,5000,174,10.000000000000000000000000000000,9,0.998999999999999999111821580300
157,157_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,3001,10.000000000000000000000000000000,7,0.001000000000000000020816681712
158,158_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,46.000000000000000000000000000000,5000,150,10.000000000000000000000000000000,9,0.998999999999999999111821580300
159,159_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,4248,10.000000000000000000000000000000,20,0.998999999999999999111821580300
