trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
561,561_0,RUNNING,SOBOL,,,698,0.266821293124929082019036741258,0.263741792544722575275528697603,4286,4742,1132
562,562_0,RUNNING,SOBOL,,,1146,0.754603988854214535741959934967,0.907112550377845772153762027301,3328,1203,156
563,563_0,FAILED,SOBOL,,,4035,0.035599918255582452264462745006,0.326397469924762873016987896335,975,3787,4350
564,564_0,FAILED,SOBOL,,,2991,0.738221768701449065908093416510,0.723635029049590206007280812628,3854,3372,3555
565,565_0,FAILED,SOBOL,,,2133,0.455965353352949021026319087468,0.009886120244860650829732406919,1852,1579,2124
566,566_0,FAILED,SOBOL,,,1567,0.584482919177040427527458632539,0.425061998547986152896527300982,2089,2473,711
567,567_0,RUNNING,SOBOL,,,3204,0.359732119025662544498089800982,0.842529889717698043938298724242,4716,2558,4944
568,568_0,RUNNING,SOBOL,,,4756,0.913227566706016680164736953884,0.242573580592870707839381338999,117,4682,2937
569,569_0,RUNNING,SOBOL,,,151,0.126978865927085293741072291596,0.527007178680971244411068710178,3096,388,1545
570,570_0,FAILED,SOBOL,,,35,0.595001758476719211365946193837,0.789799246642738594914590066765,4366,2932,2073
571,571_0,FAILED,SOBOL,,,4805,0.320454689027741546070160438830,0.442686203954741341881629068666,1329,2080,3504
572,572_0,FAILED,SOBOL,,,3174,0.890008051561191670941752818180,0.606813190264627322356716376817,3449,142,4222
573,573_0,FAILED,SOBOL,,,1685,0.178956971770152462042346996896,0.127640222210437054295439907037,842,4909,28
574,574_0,FAILED,SOBOL,,,2097,0.799120241669938002893047723774,0.308925313008949153914528551468,610,4161,1437
575,575_0,RUNNING,SOBOL,,,3114,0.020816865513101221601965917785,0.959629294980317348873199989612,2592,809,2828
576,576_0,RUNNING,SOBOL,,,3925,0.690751528644934276179867538303,0.124971058670431373061049384887,2191,1332,4913
577,577_0,RUNNING,SOBOL,,,1189,0.473702393336221549979825340415,0.643615587441250691647098847170,4603,3599,679
578,578_0,RUNNING,SOBOL,,,739,0.983923534417524892070616715500,0.062867289019748570644274821007,3019,2333,562
579,579_0,RUNNING,SOBOL,,,4101,0.209791511220857512798332322745,0.705713720846921188645239908510,22,2717,3858
580,580_0,RUNNING,SOBOL,,,2627,0.501793059257790496907603028376,0.371090055231004967151164919414,4796,4500,3415
581,581_0,RUNNING,SOBOL,,,2233,0.288913380810990938485360857158,0.897470307974144843043973196473,2149,512,2335
