trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
478,478_0,FAILED,BoTorch,GenerationStep_1,,,2468,1,1,0.167816671147065221703087445349
479,479_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,30.000000000000000000000000000000,1000,212,1,0.998999999999999999111821580300
480,480_0,FAILED,BoTorch,GenerationStep_1,,,803,1,10,0.001000000000000000020816681712
481,481_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,39.000000000000000000000000000000,1063,194,7,0.998999999999999999111821580300
482,482_0,FAILED,BoTorch,GenerationStep_1,,,741,1,1,0.335344304177569552116722206847
483,483_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,317.000000000000000000000000000000,778,15,10,0.998999999999999999111821580300
484,484_0,FAILED,BoTorch,GenerationStep_1,,,3503,1,10,0.555263645485583046124133943522
485,485_0,FAILED,BoTorch,GenerationStep_1,,,2602,1,10,0.546617170705629762395005855069
486,486_0,FAILED,BoTorch,GenerationStep_1,,,893,1,1,0.001000000000000000020816681712
487,487_0,FAILED,BoTorch,GenerationStep_1,,,3522,1,4,0.001000000000000000020816681712
488,488_0,FAILED,BoTorch,GenerationStep_1,,,665,1,10,0.461749803788510937430089597910
489,489_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,68.000000000000000000000000000000,1788,152,1,0.998999999999999999111821580300
490,490_0,FAILED,BoTorch,GenerationStep_1,,,5000,1,10,0.539366504259158108247618201858
491,491_0,FAILED,BoTorch,GenerationStep_1,,,2158,1,10,0.525872909718457237637778689532
492,492_0,FAILED,BoTorch,GenerationStep_1,,,491,1,1,0.001000000000000000020816681712
493,493_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,27.000000000000000000000000000000,799,171,1,0.998999999999999999111821580300
494,494_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,51.000000000000000000000000000000,3835,207,1,0.998999999999999999111821580300
495,495_0,FAILED,BoTorch,GenerationStep_1,,,1636,1,1,0.001000000000000000020816681712
496,496_0,FAILED,BoTorch,GenerationStep_1,,,809,1,1,0.527827682785423690781101413450
497,497_0,FAILED,BoTorch,GenerationStep_1,,,2313,1,1,0.001000000000000000020816681712
498,498_0,FAILED,BoTorch,GenerationStep_1,,,1129,1,10,0.555506923812546848928661802347
499,499_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,46.000000000000000000000000000000,3088,158,10,0.998999999999999999111821580300
500,500_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,62.000000000000000000000000000000,1743,185,6,0.998999999999999999111821580300
501,501_0,FAILED,BoTorch,GenerationStep_1,,,4196,1,1,0.001000000000000000020816681712
502,502_0,FAILED,BoTorch,GenerationStep_1,,,3303,1,1,0.220099958967040570945172817119
