trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
121,121_0,RUNNING,BOTORCH_MODULAR,,,5000,3086,10.000000000000000000000000000000,0.000500000000000000010408340856,True,True
122,122_0,RUNNING,BOTORCH_MODULAR,,,5000,5000,10.000000000000000000000000000000,0.000500000000000000010408340856,False,True
123,123_0,COMPLETED,BOTORCH_MODULAR,0.380000000000000004440892098501,16.000000000000000000000000000000,1,4474,0.001000000000000000020816681712,0.050000000000000002775557561563,False,False
124,124_0,RUNNING,BOTORCH_MODULAR,,,5000,3771,10.000000000000000000000000000000,0.000500000000000000010408340856,False,True
125,125_0,COMPLETED,BOTORCH_MODULAR,0.359999999999999986677323704498,191.000000000000000000000000000000,4137,2376,0.001000000000000000020816681712,0.038551340819250518032745844721,True,False
126,126_0,RUNNING,BOTORCH_MODULAR,,,582,3425,10.000000000000000000000000000000,0.050000000000000002775557561563,True,True
127,127_0,RUNNING,BOTORCH_MODULAR,,,2985,3311,10.000000000000000000000000000000,0.035751479534139270211046124359,False,True
128,128_0,RUNNING,BOTORCH_MODULAR,,,2066,2487,10.000000000000000000000000000000,0.041891394138589305162767573165,True,False
129,129_0,RUNNING,BOTORCH_MODULAR,,,5000,2610,10.000000000000000000000000000000,0.000500000000000000010408340856,True,True
130,130_0,RUNNING,BOTORCH_MODULAR,,,1,3807,0.205257674179778387690831209511,0.050000000000000002775557561563,False,True
131,131_0,RUNNING,BOTORCH_MODULAR,,,3952,1198,10.000000000000000000000000000000,0.030343788621560580792690942076,True,False
