trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,1168.000000000000000000000000000000,166,7,0.467251365160569531731482584291,2198
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.619999999999999995559107901499,1522.000000000000000000000000000000,4483,3,0.704952762708067948160817195458,4072
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,38.000000000000000000000000000000,4228,6,0.837503944825381041461298536888,4439
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,35.000000000000000000000000000000,1047,2,0.085200186761096113885471936555,1323
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,38.000000000000000000000000000000,2023,4,0.616321469608694272324100893456,3469
23,23_0,RUNNING,Sobol,GenerationStep_0,,,2704,0,0.370823033476248398176977616458,341
24,24_0,RUNNING,Sobol,GenerationStep_0,,,3054,7,0.506733382301405077541289756482,1800
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.690000000000000057731597280508,474.000000000000000000000000000000,2220,3,0.261005984868854290503747961338,4939
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.650000000000000022204460492503,2751.000000000000000000000000000000,697,5,0.792357151040807394792864215560,293
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,38.000000000000000000000000000000,4031,1,0.039826335210353135118932499381,3400
28,28_0,COMPLETED,Sobol,GenerationStep_0,0.589999999999999968913755310496,3031.000000000000000000000000000000,4760,4,0.421876145444810390916501319225,3071
29,29_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,6373.000000000000000000000000000000,592,0,0.659807337088510359457416143414,1208
30,30_0,COMPLETED,BoTorch,GenerationStep_1,0.700000000000000066613381477509,35.000000000000000000000000000000,1,3,0.001000000000000000020816681712,5000
31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,7.000000000000000000000000000000,1,3,0.001000000000000000020816681712,1
32,32_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,6566.000000000000000000000000000000,5000,3,0.001000000000000000020816681712,5000
33,33_0,COMPLETED,BoTorch,GenerationStep_1,0.630000000000000004440892098501,30.000000000000000000000000000000,1,3,0.417773659825947885071428800075,5000
34,34_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,8.000000000000000000000000000000,1,3,0.380536512130226878269922963227,1
35,35_0,RUNNING,BoTorch,GenerationStep_1,,,1842,5,0.736917371266524567907651999121,4630
36,36_0,COMPLETED,BoTorch,GenerationStep_1,0.600000000000000088817841970013,24.000000000000000000000000000000,1,3,0.791015810824196807793384778051,1001
37,37_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,35.000000000000000000000000000000,1,2,0.998999999999999999111821580300,2995
