trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
1730,1730_0,FAILED,SOBOL,,,3908,0.830218834180384890331083624915,0.062714852944016449831643456037,3490,643,3024
1731,1731_0,COMPLETED,SOBOL,0.660000000000000031086244689504,3722.000000000000000000000000000000,2309,0.339145862383767981995674745122,0.965976419759914328722061327426,180,2754,402
1732,1732_0,FAILED,SOBOL,,,1825,0.945085883961990447232892620377,0.593036943389102844115257084923,1240,3191,2160
1733,1733_0,FAILED,SOBOL,,,4441,0.438145527303218818016006252947,0.435899885192513492082611037404,2594,207,4391
1734,1734_0,FAILED,SOBOL,,,2744,0.739174588747322558468511033425,0.828947764266282360878790314018,2489,1220,3240
1735,1735_0,FAILED,SOBOL,,,982,0.247823704713955511591549907280,0.173305329324677598323845018058,3843,2617,850
1736,1736_0,FAILED,SOBOL,,,818,0.802953248908743311140767673351,0.768356363480910631302833735390,2892,1317,276
1737,1737_0,FAILED,SOBOL,,,2968,0.311894079592078932172682925739,0.236946172885596745283365294199,931,1835,2506
1738,1738_0,FAILED,SOBOL,,,4859,0.510786276523023885509644514968,0.528908778410404956105139717693,4144,2847,3855
1739,1739_0,FAILED,SOBOL,,,1387,0.004136686531826853918669684163,0.496978577652946118536902986307,2182,743,1467
1740,1740_0,COMPLETED,SOBOL,0.839999999999999968913755310496,6160.000000000000000000000000000000,2143,0.641733563067391488132784616027,0.123367153802886611591027588020,1758,307,959
1741,1741_0,RUNNING,SOBOL,,,4133,0.150404088214039804993760185425,0.902274646382778877651276161487,4420,3283,3737
1742,1742_0,RUNNING,SOBOL,,,3685,0.917759807579219377693391379580,0.363065825037658218565894685526,507,2271,4891
1743,1743_0,RUNNING,SOBOL,,,51,0.410832305351272242255333821959,0.642478460138663609590992109588,3170,881,2267
1744,1744_0,RUNNING,SOBOL,,,140,0.682482095768675245395229467249,0.978922611515969043338714072888,3828,3138,1533
1745,1745_0,RUNNING,SOBOL,,,3617,0.175556495215743790794249434839,0.010903721788898111666465950975,2349,55,3755
1746,1746_0,RUNNING,SOBOL,,,4181,0.881033442083746232142971166468,0.723763374453410546216503007599,2579,1176,2601
1747,1747_0,RUNNING,SOBOL,,,2036,0.389698258487507720460030213872,0.255224232904612990946446871021,1100,2455,225
1748,1748_0,RUNNING,SOBOL,,,1318,0.777314373733475783012636384228,0.131295667283236994204997927227,276,2019,2215
1749,1749_0,RUNNING,SOBOL,,,4948,0.270659071281552310317408682749,0.847933688884600966773064101289,3549,1612,4986
1750,1750_0,RUNNING,SOBOL,,,2861,0.532406791560351866365863315878,0.386218689540401116655488067408,1525,491,3637
1751,1751_0,RUNNING,SOBOL,,,866,0.041349527636542919573070520300,0.603362087886780473766634713684,4798,2703,1025
1752,1752_0,RUNNING,SOBOL,,,1090,0.970732849156484056685201267101,0.446996625497937227766698242704,3232,365,351
1753,1753_0,RUNNING,SOBOL,,,2695,0.479387673866003727329854200434,0.539785968197509680166490397824,601,3457,3119
1754,1754_0,RUNNING,SOBOL,,,4508,0.717545983690768496288114874915,0.195359108390286556611314949805,4482,2335,4271
