trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
1717,1717_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.000000000000000000000000000000,3740,3697,0.162879926772788174993422671832,0.399366844573989521194334884058,str\(\'intersection\'\),0.083265218092128640003934947345,True
1718,1718_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.000000000000000000000000000000,3894,622,0.767226295426487903128531797847,0.728624422930181037116881270777,str\(\'intersection\'\),0.063828794313594700016167848844,False
1719,1719_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1721,4329,0.416657019741833223314131373627,0.208537772946059712930733098801,str\(\'kl\'\),0.022194412834942341128385834281,True
1720,1720_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1454,1354,0.824368521533906495335486397380,0.477477380897849801311139117388,str\(\'intersection\'\),0.018527075387537478290411741000,False
1721,1721_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.000000000000000000000000000000,4164,2640,0.488905594497919093743831808752,0.958578704115003343844136907137,str\(\'kl\'\),0.067637580735608923698798378155,True
1722,1722_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.000000000000000000000000000000,3380,736,0.563064379500225142827218860475,0.161494345536455502498895953067,str\(\'kl\'\),0.092453185422345998678572698282,False
1723,1723_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,983,4527,0.243652652898803362413460149583,0.650857422431930898731877732644,str\(\'intersection\'\),0.038558692075312143987542157220,True
1724,1724_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,205,275,0.320962475294247262525004771305,0.569276127511635476885487605614,str\(\'intersection\'\),0.027869243668392301715996950406,False
1725,1725_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.000000000000000000000000000000,2915,4056,0.983406869949772999284220986738,0.119361174071207637448210903131,str\(\'kl\'\),0.058296765629202135228226211439,True
1726,1726_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.000000000000000000000000000000,4631,2133,0.067429207548499112134798849638,0.760569893784820982851613280218,str\(\'kl\'\),0.077536165062338111009232477500,False
1727,1727_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2234,3428,0.745984526015818105726395970123,0.302393543578684309558468612522,str\(\'intersection\'\),0.053474319027736791354321610470,True
