trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
2292,2292_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1850,2171,0.101632689766585820878574963899,35,0.25
2293,2293_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2822,3319,0.698892459038645053048810495966,13,0.1
2294,2294_0,COMPLETED,SOBOL,0.550000000000000044408920985006,2.000000000000000000000000000000,0.890000000000000013322676295502,4434,444,0.783988627512007929531989702809,7,0.001
2295,2295_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,864,4073,0.383233283765614052285286561528,42,0.05
2296,2296_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,813,1955,0.834786787692457399323586741957,27,0.1
2297,2297_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4519,3180,0.496900411002337949462059896177,23,0.01
2298,2298_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.890000000000000013322676295502,2928,579,0.020127612419426441081604650662,5,0.005
2299,2299_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1779,4284,0.680256348747760086759228670417,46,0.001
2300,2300_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.849999999999999977795539507497,1952,849,0.292468143995851304062227882241,8,0.25
2301,2301_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3382,4642,0.874601477131247473373321099643,43,0.05
2302,2302_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,4369,1621,0.608355739623308133801060648693,37,0.025
2303,2303_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,341,2895,0.192504423718899475570509594036,15,0.01
2304,2304_0,COMPLETED,SOBOL,0.560000000000000053290705182008,2.000000000000000000000000000000,0.900000000000000022204460492503,147,137,0.714536706596612947173241536802,19,0.005
2305,2305_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3940,3755,0.117419587116688484140780701637,34,0.001
2306,2306_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3657,2489,0.398648991998285073812269274640,41,0.1
2307,2307_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2305,3627,0.799516759499907525565731702955,13,0.01
2308,2308_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1505,1438,0.157598751254379748631961888350,48,0.05
2309,2309_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2575,2800,0.511689079541713054410934091720,1,0.025
2310,2310_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.939999999999999946709294817992,4713,939,0.972258045498281764373871283169,20,0.005
2311,2311_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1241,4820,0.328333022825419929002777053029,29,0.25
2312,2312_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,1043,1184,0.928552369110286268671927700780,31,0.005
2313,2313_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4916,4890,0.278658938471227857203160738209,22,0.1
