trial_index,arm_name,trial_status,generation_method,result,n_reference_samples,recent_samples_proportion,threshold
267,49_0,COMPLETED,BoTorch,0.251514712976362742047342635487,50,1.000000000000000000000000000000,0.500000000000000000000000000000
268,49_0,COMPLETED,BoTorch,0.251363965267727973440514688264,50,1.000000000000000000000000000000,0.500000000000000000000000000000
269,49_0,COMPLETED,BoTorch,0.251392908827785865888415628433,50,1.000000000000000000000000000000,0.500000000000000000000000000000
270,49_0,COMPLETED,BoTorch,0.251437530149541732527040949208,50,1.000000000000000000000000000000,0.500000000000000000000000000000
271,49_0,COMPLETED,BoTorch,0.251380849011095031109164210648,50,1.000000000000000000000000000000,0.500000000000000000000000000000
272,49_0,COMPLETED,BoTorch,0.251373613121080530241613359976,50,1.000000000000000000000000000000,0.500000000000000000000000000000
273,49_0,COMPLETED,BoTorch,0.251406174626145673123289725481,50,1.000000000000000000000000000000,0.500000000000000000000000000000
274,49_0,COMPLETED,BoTorch,0.251429088277858148181564956758,50,1.000000000000000000000000000000,0.500000000000000000000000000000
275,49_0,COMPLETED,BoTorch,0.251429088277858148181564956758,50,1.000000000000000000000000000000,0.500000000000000000000000000000
276,49_0,COMPLETED,BoTorch,0.251367583212735112851987651084,50,1.000000000000000000000000000000,0.500000000000000000000000000000
277,277_0,COMPLETED,BoTorch,0.264933671008200644081398422713,94,0.509158919838748280639606491604,0.525822675579071363571870278975
278,49_0,COMPLETED,BoTorch,0.251356729377713472572963837592,50,1.000000000000000000000000000000,0.500000000000000000000000000000
279,279_0,COMPLETED,BoTorch,0.252723106608779501947026346897,50,0.331958254155426124576422353130,0.521162249483033246377772229607
280,49_0,COMPLETED,BoTorch,0.251359141341051639528814121149,50,1.000000000000000000000000000000,0.500000000000000000000000000000
281,49_0,COMPLETED,BoTorch,0.251415822479498340946690859710,50,1.000000000000000000000000000000,0.500000000000000000000000000000
282,49_0,COMPLETED,BoTorch,0.251464061746261458019091605820,50,1.000000000000000000000000000000,0.500000000000000000000000000000
283,49_0,COMPLETED,BoTorch,0.251322961890979246213362330309,50,1.000000000000000000000000000000,0.500000000000000000000000000000
284,49_0,COMPLETED,BoTorch,0.251330197780993747080913180980,50,1.000000000000000000000000000000,0.500000000000000000000000000000
285,49_0,COMPLETED,BoTorch,0.251424264351181814269864389644,50,1.000000000000000000000000000000,0.500000000000000000000000000000
286,286_0,COMPLETED,BoTorch,0.251456825856246957151540755149,50,0.338891192458694701095112122857,0.521165620101966431398921031359
287,49_0,COMPLETED,BoTorch,0.251426676314519981225714673201,50,1.000000000000000000000000000000,0.500000000000000000000000000000
288,49_0,COMPLETED,BoTorch,0.251306078147612188544712807925,50,1.000000000000000000000000000000,0.500000000000000000000000000000
289,49_0,COMPLETED,BoTorch,0.251376025084418697197463643533,50,1.000000000000000000000000000000,0.500000000000000000000000000000
290,49_0,COMPLETED,BoTorch,0.251536420646406133627692724986,50,1.000000000000000000000000000000,0.500000000000000000000000000000
291,291_0,COMPLETED,BoTorch,0.258896526772793067472377970262,69,0.736267914228911357632512135751,0.587919343787918324828467575571
292,292_0,COMPLETED,BoTorch,0.251807766521948916960127462517,50,0.434115100073588111584399484855,0.500000000000000000000000000000
293,293_0,COMPLETED,BoTorch,0.250700675349734725116945810441,50,0.449220954454323084803490928607,0.500000000000000000000000000000
294,294_0,COMPLETED,BoTorch,0.251218041485769427723084845638,50,0.334877103582512880564081569901,0.517370703139367282830107797054
295,49_0,COMPLETED,BoTorch,0.251379643029425947631239068869,50,1.000000000000000000000000000000,0.500000000000000000000000000000
296,296_0,COMPLETED,BoTorch,0.284559816690786338000407340587,232,0.858447136604702287776547109388,0.502636864340298195052980645414
297,49_0,COMPLETED,BoTorch,0.251354317414375305617113554035,50,1.000000000000000000000000000000,0.500000000000000000000000000000
298,49_0,COMPLETED,BoTorch,0.251321755909310162735437188530,50,1.000000000000000000000000000000,0.500000000000000000000000000000
299,49_0,COMPLETED,BoTorch,0.251321755909310162735437188530,50,1.000000000000000000000000000000,0.500000000000000000000000000000
