trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
1271,,,,,,,,,,,,,,,1271_0,FAILED,SOBOL,,,3092,3719,43,263,0.340263485899195083916879411845
1272,,,,,,,,,,,,,,,1272_0,FAILED,SOBOL,,,1305,2048,70,967,0.859077093655243539949140085810
1273,,,,,,,,,,,,,,,1273_0,RUNNING,SOBOL,,,791,4989,13,16,0.512437208345159933564616494550
1274,,,,,,,,,,,,,,,1274_0,RUNNING,SOBOL,,,4785,817,77,690,0.032881471032276753108103406475
1275,,,,,,,,,,,,,,,1275_0,RUNNING,SOBOL,,,4128,4200,60,609,0.145564069697633385880308765081
1276,1754867192.000000000000000000000000000000,1754867494.000000000000000000000000000000,302.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 310 n_samples 34 k_neighbors 30 n_permutations 187 significance_level 0.6794503536280244,0.000000000000000000000000000000,,i7029,269.000000000000000000000000000000,572.433593750000000000000000000000,557.812904094827558765246067196131,-1.000000000000000000000000000000,0.340000000000000024424906541753,1.624875000000000069277916736610,5780002.000000000000000000000000000000,1276_0,COMPLETED,SOBOL,269.000000000000000000000000000000,1.840000000000000079936057773011,310,34,30,187,0.679450353628024417140807145188
1277,,,,,,,,,,,,,,,1277_0,RUNNING,SOBOL,,,1981,2931,90,863,0.941057593474164622016076009459
1278,,,,,,,,,,,,,,,1278_0,RUNNING,SOBOL,,,3631,1264,23,410,0.477556755846366309814499118147
1279,,,,,,,,,,,,,,,1279_0,RUNNING,SOBOL,,,3301,4582,98,190,0.773683969240635649455839484290
1280,,,,,,,,,,,,,,,1280_0,RUNNING,SOBOL,,,2275,1176,16,520,0.301807678960263725542745305574
1281,,,,,,,,,,,,,,,1281_0,RUNNING,SOBOL,,,601,3352,54,467,0.071204727690666907991001721712
1282,,,,,,,,,,,,,,,1282_0,FAILED,SOBOL,,,3795,2444,34,766,0.597933820687234440782731326181
1283,,,,,,,,,,,,,,,1283_0,FAILED,SOBOL,,,4491,2578,1,908,0.703323876745998832760164987121
1284,,,,,,,,,,,,,,,1284_0,RUNNING,SOBOL,,,1122,1666,87,360,0.247493927683681252949199347313
1285,,,,,,,,,,,,,,,1285_0,RUNNING,SOBOL,,,1638,3809,45,685,0.375517219729721518639564692421
1286,1754870295.000000000000000000000000000000,1754872846.000000000000000000000000000000,2551.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2801 n_samples 396 k_neighbors 69 n_permutations 107 significance_level 0.9173256587050855,0.000000000000000000000000000000,,i7158,2528.000000000000000000000000000000,572.328125000000000000000000000000,558.152879901960773167957086116076,-1.000000000000000000000000000000,0.320000000000000006661338147751,1.621625000000000094146912488213,5780012.000000000000000000000000000000,1286_0,COMPLETED,SOBOL,2528.000000000000000000000000000000,1.989999999999999991118215802999,2801,396,69,107,0.917325658705085533739520542440
1287,,,,,,,,,,,,,,,1287_0,FAILED,SOBOL,,,2708,2713,80,423,0.162702786581590763681504085980
1288,,,,,,,,,,,,,,,1288_0,RUNNING,SOBOL,,,1683,1805,10,846,0.634126009760424547145873930276
1289,,,,,,,,,,,,,,,1289_0,RUNNING,SOBOL,,,1184,3981,73,169,0.988472017602995078888739044487
1290,,,,,,,,,,,,,,,1290_0,RUNNING,SOBOL,,,4377,575,40,624,0.462256852744147184175460552069
1291,,,,,,,,,,,,,,,1291_0,RUNNING,SOBOL,,,3901,4448,20,707,0.357359826846048223014662426067
1292,1754873035.000000000000000000000000000000,1754875254.000000000000000000000000000000,2219.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 532 n_samples 1036 k_neighbors 93 n_permutations 3 significance_level 0.813642843009904,0.000000000000000000000000000000,,i7059,2197.000000000000000000000000000000,634.855468750000000000000000000000,567.855116835585590706614311784506,-1.000000000000000000000000000000,0.320000000000000006661338147751,1.536624999999999907629444351187,5780018.000000000000000000000000000000,1292_0,COMPLETED,SOBOL,2197.000000000000000000000000000000,4.450000000000000177635683940025,532,1036,93,3,0.813642843009903971029928015923
1293,,,,,,,,,,,,,,,1293_0,RUNNING,SOBOL,,,2218,3178,27,953,0.559923468573018889848924573016
1294,,,,,,,,,,,,,,,1294_0,RUNNING,SOBOL,,,3380,2267,63,280,0.017601101459935309528903601972
1295,,,,,,,,,,,,,,,1295_0,FAILED,SOBOL,,,3675,4340,37,124,0.719409463480114919065044887247
